user_id,year,month,day,had_drinks,number_of_drinks
5,2015,1,19,No,0
-1,2015,1,19,No,0
19,2015,1,19,No,0
21,2015,1,19,No,0
10,2015,1,19,Yes,1
31,2015,1,19,No,0
19,2015,1,20,No,0
10,2015,1,20,Yes,6
5,2015,1,20,No,0
4,2015,1,20,Yes,3
45,2015,1,20,No,0
21,2015,1,20,No,0
31,2015,1,20,No,0
55,2015,1,20,No,0
15,2015,1,21,No,0
19,2015,1,21,No,0
10,2015,1,21,No,0
5,2015,1,21,No,0
45,2015,1,21,No,0
4,2015,1,21,No,0
69,2015,1,21,No,0
10,2015,1,22,Yes,3
19,2015,1,22,No,0
4,2015,1,22,Yes,3
5,2015,1,22,No,0
15,2015,1,22,No,0
4,2015,1,23,No,0
5,2015,1,23,No,0
19,2015,1,23,No,0
3,2015,1,23,Yes,4
21,2015,1,23,No,0
15,2015,1,23,Yes,1
127,2015,1,23,Yes,1
126,2015,1,23,No,0
128,2015,1,23,Yes,1
125,2015,1,23,No,0
130,2015,1,23,No,0
19,2015,1,24,No,0
130,2015,1,24,Yes,1
125,2015,1,24,Yes,1
69,2015,1,24,Yes,1
138,2015,1,24,No,0
127,2015,1,24,No,0
4,2015,1,24,Yes,1
5,2015,1,24,No,0
126,2015,1,24,No,0
19,2015,1,25,No,0
138,2015,1,25,No,0
142,2015,1,25,No,0
127,2015,1,25,No,0
118,2015,1,25,No,0
69,2015,1,25,No,0
117,2015,1,26,Yes,1
138,2015,1,26,No,0
10,2015,1,26,No,0
120,2015,1,26,No,0
1,2015,1,26,No,0
127,2015,1,26,No,0
142,2015,1,26,No,0
69,2015,1,26,No,0
126,2015,1,27,No,0
10,2015,1,27,No,0
142,2015,1,27,No,0
156,2015,1,27,Yes,6
127,2015,1,27,No,0
15,2015,1,28,Yes,1
156,2015,1,28,No,0
10,2015,1,28,No,0
127,2015,1,28,No,0
19,2015,1,28,No,0
15,2015,1,29,No,0
4,2015,1,29,No,0
156,2015,1,29,Yes,2
10,2015,1,29,No,0
127,2015,1,29,No,0
84,2015,1,29,No,0
12,2015,1,30,Yes,2
15,2015,1,30,No,0
127,2015,1,30,No,0
84,2015,1,30,No,0
69,2015,1,31,Yes,1
19,2015,1,31,No,0
15,2015,1,31,No,0
69,2015,1,31,Yes,1
31,2015,2,1,No,0
69,2015,2,1,Yes,1
199,2015,2,2,No,0
201,2015,2,2,No,0
127,2015,2,2,No,0
4,2015,2,3,No,0
199,2015,2,3,No,0
19,2015,2,3,No,0
94,2015,2,3,No,0
84,2015,2,3,Yes,1
15,2015,2,3,Yes,1
181,2015,2,3,No,0
201,2015,2,3,No,0
5,2015,2,3,Yes,1
201,2015,2,4,No,0
199,2015,2,4,No,0
10,2015,2,4,Yes,1
84,2015,2,4,Yes,1
15,2015,2,4,No,0
181,2015,2,4,No,0
200,2015,2,4,No,0
4,2015,2,4,No,0
201,2015,2,5,No,0
200,2015,2,5,No,0
181,2015,2,5,No,0
10,2015,2,5,Yes,4
127,2015,2,5,No,0
201,2015,2,6,No,0
171,2015,2,6,No,0
218,2015,2,6,No,0
127,2015,2,6,Yes,1
5,2015,2,6,No,0
5,2015,2,7,No,0
201,2015,2,7,No,0
218,2015,2,7,No,0
127,2015,2,7,No,0
5,2015,2,8,No,0
201,2015,2,8,No,0
218,2015,2,8,No,0
199,2015,2,8,Yes,1
127,2015,2,8,No,0
201,2015,2,9,No,0
218,2015,2,9,No,0
87,2015,2,9,No,0
127,2015,2,9,No,0
5,2015,2,9,No,0
201,2015,2,10,No,0
4,2015,2,10,Yes,1
4,2015,2,10,Yes,1
4,2015,2,10,Yes,1
4,2015,2,10,Yes,1
200,2015,2,10,No,0
218,2015,2,10,No,0
181,2015,2,10,No,0
230,2015,2,10,No,0
87,2015,2,10,No,0
233,2015,2,10,No,0
5,2015,2,10,No,0
127,2015,2,10,No,0
200,2015,2,11,No,0
199,2015,2,11,No,0
5,2015,2,11,No,0
239,2015,2,11,Yes,2
4,2015,2,11,Yes,1
4,2015,2,11,Yes,1
218,2015,2,11,No,0
87,2015,2,11,No,0
201,2015,2,11,No,0
127,2015,2,11,No,0
4,2015,2,12,No,0
201,2015,2,12,No,0
87,2015,2,12,Yes,3
199,2015,2,12,No,0
127,2015,2,12,No,0
4,2015,2,13,Yes,2
246,2015,2,13,Yes,2
247,2015,2,13,Yes,2
201,2015,2,13,No,0
87,2015,2,13,Yes,10
127,2015,2,13,No,0
246,2015,2,14,Yes,2
201,2015,2,14,No,0
248,2015,2,14,No,0
5,2015,2,14,Yes,1
249,2015,2,14,No,0
127,2015,2,14,Yes,1
87,2015,2,14,Yes,1
201,2015,2,15,No,0
246,2015,2,15,No,0
87,2015,2,15,Yes,1
5,2015,2,15,Yes,1
95,2015,2,15,No,0
127,2015,2,15,No,0
257,2015,2,15,No,0
257,2015,2,16,Yes,1
267,2015,2,16,No,0
201,2015,2,16,No,0
246,2015,2,16,No,0
4,2015,2,16,Yes,1
87,2015,2,16,No,0
95,2015,2,16,No,0
95,2015,2,16,No,0
278,2015,2,16,No,0
276,2015,2,16,Yes,1
276,2015,2,16,Yes,1
277,2015,2,16,Yes,2
127,2015,2,16,No,0
5,2015,2,16,No,0
247,2015,2,17,No,0
276,2015,2,17,No,0
288,2015,2,17,No,0
4,2015,2,17,No,0
201,2015,2,17,No,0
225,2015,2,17,No,0
87,2015,2,17,Yes,1
293,2015,2,17,No,0
277,2015,2,17,No,0
275,2015,2,17,Yes,1
127,2015,2,17,No,0
221,2015,2,17,No,0
201,2015,2,18,No,0
288,2015,2,18,No,0
225,2015,2,18,Yes,1
87,2015,2,18,Yes,1
127,2015,2,18,No,0
221,2015,2,18,No,0
246,2015,2,19,No,0
201,2015,2,19,No,0
304,2015,2,19,No,0
127,2015,2,19,Yes,1
221,2015,2,19,No,0
304,2015,2,20,No,0
4,2015,2,20,Yes,4
246,2015,2,20,No,0
201,2015,2,20,No,0
308,2015,2,20,No,0
309,2015,2,20,No,0
127,2015,2,20,No,0
239,2015,2,21,No,0
4,2015,2,21,No,0
276,2015,2,21,Yes,5
201,2015,2,21,No,0
225,2015,2,21,Yes,1
304,2015,2,21,No,0
5,2015,2,21,Yes,3
5,2015,2,21,Yes,3
5,2015,2,21,Yes,3
5,2015,2,21,Yes,3
308,2015,2,21,No,0
305,2015,2,21,Yes,2
127,2015,2,21,No,0
201,2015,2,22,No,0
239,2015,2,22,No,0
19,2015,2,22,No,0
308,2015,2,22,No,0
307,2015,2,22,Yes,2
127,2015,2,22,Yes,3
305,2015,2,22,Yes,1
4,2015,2,22,No,0
314,2015,2,23,No,0
246,2015,2,23,No,0
201,2015,2,23,No,0
4,2015,2,23,No,0
308,2015,2,23,No,0
127,2015,2,23,Yes,1
239,2015,2,23,No,0
87,2015,2,23,No,0
307,2015,2,23,No,0
201,2015,2,24,No,0
246,2015,2,24,No,0
87,2015,2,24,Yes,5
239,2015,2,24,Yes,2
308,2015,2,24,No,0
127,2015,2,24,Yes,1
4,2015,2,24,No,0
314,2015,2,24,No,0
246,2015,2,25,No,0
4,2015,2,25,Yes,1
201,2015,2,25,No,0
87,2015,2,25,Yes,1
200,2015,2,25,No,0
314,2015,2,25,Yes,1
127,2015,2,25,Yes,2
326,2015,2,25,Yes,1
319,2015,2,25,No,0
325,2015,2,26,No,0
4,2015,2,26,No,0
201,2015,2,26,No,0
321,2015,2,26,No,0
246,2015,2,26,No,0
87,2015,2,26,No,0
327,2015,2,26,No,0
127,2015,2,26,Yes,1
319,2015,2,26,No,0
325,2015,2,27,No,0
337,2015,2,27,Yes,1
201,2015,2,27,No,0
4,2015,2,27,Yes,3
246,2015,2,27,No,0
286,2015,2,27,No,0
344,2015,2,27,Yes,2
321,2015,2,27,No,0
127,2015,2,27,Yes,1
246,2015,2,28,No,1
246,2015,2,28,Yes,1
4,2015,2,28,No,0
348,2015,2,28,No,0
127,2015,2,28,No,0
348,2015,3,1,No,0
4,2015,3,1,No,0
246,2015,3,1,No,0
246,2015,3,1,No,0
239,2015,3,2,No,0
201,2015,3,2,No,0
4,2015,3,2,No,0
95,2015,3,2,No,0
246,2015,3,2,No,0
350,2015,3,2,No,0
200,2015,3,3,No,0
4,2015,3,3,No,0
247,2015,3,3,No,0
201,2015,3,3,No,0
246,2015,3,3,No,0
2,2015,3,3,No,0
352,2015,3,3,Yes,1
87,2015,3,3,Yes,3
350,2015,3,3,No,0
2,2015,3,4,No,0
247,2015,3,4,Yes,1
201,2015,3,4,No,0
4,2015,3,4,No,0
87,2015,3,4,Yes,5
327,2015,3,4,Yes,1
127,2015,3,4,No,0
350,2015,3,4,No,0
360,2015,3,4,Yes,1
201,2015,3,5,No,0
2,2015,3,5,No,0
239,2015,3,5,No,0
4,2015,3,5,No,0
87,2015,3,5,Yes,8
366,2015,3,5,No,0
350,2015,3,5,No,0
127,2015,3,5,No,0
367,2015,3,5,Yes,1
327,2015,3,5,Yes,1
338,2015,3,6,No,0
201,2015,3,6,No,0
367,2015,3,6,No,0
246,2015,3,6,No,0
327,2015,3,6,Yes,1
127,2015,3,6,Yes,1
246,2015,3,7,No,0
201,2015,3,7,No,0
127,2015,3,7,No,0
201,2015,3,8,No,0
309,2015,3,8,No,0
4,2015,3,8,No,0
87,2015,3,8,Yes,1
201,2015,3,9,No,0
2,2015,3,9,Yes,1
4,2015,3,9,No,0
87,2015,3,9,No,0
327,2015,3,9,No,0
239,2015,3,9,Yes,2
2,2015,3,10,No,0
201,2015,3,10,No,0
321,2015,3,10,Yes,1
239,2015,3,10,No,0
4,2015,3,10,No,0
87,2015,3,10,No,0
276,2015,3,10,No,0
127,2015,3,10,No,0
367,2015,3,11,No,0
4,2015,3,11,No,0
2,2015,3,11,No,0
201,2015,3,11,No,0
376,2015,3,11,Yes,2
87,2015,3,11,No,0
127,2015,3,11,No,0
327,2015,3,12,No,0
201,2015,3,12,No,0
4,2015,3,12,No,0
384,2015,3,12,No,0
127,2015,3,12,No,0
4,2015,3,13,No,0
201,2015,3,13,No,0
379,2015,3,13,No,0
327,2015,3,13,No,0
127,2015,3,13,No,0
327,2015,3,14,No,0
201,2015,3,14,No,0
247,2015,3,14,Yes,2
4,2015,3,14,No,0
402,2015,3,14,Yes,1
127,2015,3,14,Yes,2
87,2015,3,14,Yes,2
276,2015,3,15,No,0
201,2015,3,15,No,0
4,2015,3,15,No,0
247,2015,3,15,No,0
321,2015,3,15,No,0
2,2015,3,15,Yes,0
2,2015,3,15,No,0
402,2015,3,15,No,0
201,2015,3,16,No,0
2,2015,3,16,No,0
340,2015,3,16,Yes,2
247,2015,3,16,No,0
4,2015,3,16,No,0
396,2015,3,16,No,0
2,2015,3,17,Yes,0
2,2015,3,17,No,0
201,2015,3,17,No,0
247,2015,3,17,No,0
4,2015,3,17,No,0
27,2015,3,17,No,0
327,2015,3,17,No,0
407,2015,3,18,No,0
321,2015,3,18,No,0
2,2015,3,18,No,0
408,2015,3,18,Yes,1
4,2015,3,18,No,0
247,2015,3,18,Yes,1
327,2015,3,18,No,0
201,2015,3,18,No,0
407,2015,3,18,No,0
407,2015,3,19,No,0
2,2015,3,19,No,0
327,2015,3,19,No,0
201,2015,3,19,No,0
127,2015,3,19,No,0
327,2015,3,20,No,0
127,2015,3,20,Yes,1
360,2015,3,21,Yes,2
327,2015,3,21,No,0
127,2015,3,21,Yes,1
404,2015,3,21,No,0
327,2015,3,22,No,0
127,2015,3,22,No,0
4,2015,3,23,No,0
2,2015,3,23,No,0
327,2015,3,23,No,0
205,2015,3,23,Yes,1
127,2015,3,23,No,0
421,2015,3,24,Yes,2
428,2015,3,24,No,0
2,2015,3,24,No,0
4,2015,3,24,Yes,1
327,2015,3,24,No,0
